B7 VORHER — 2026-09-23 07:40:49  HEAD 53b35ce
Ausgabe: FEE SLIPPAGE handelskosten-geladen
elliott_wave/backtest_elliott: rc=0  0.1 0.05 False
elliott_wave_stocks/backtest_elliott: rc=0  0.1 0.05 False
rsi2_crypto/backtest_rsi2: rc=0  0.1 0.05 False
rsi2_mean_reversion/backtest_rsi2: rc=0  0.1 0.05 False
t3_supertrend/backtest_trend: rc=0  0.1 0.05 False
turtle_soup_crypto/backtest_turtle_soup: rc=0  0.1 0.05 False
turtle_soup_stocks/backtest_turtle_soup: rc=0  0.1 0.05 False
volatility_breakout/backtest_breakout: rc=0  0.1 0.05 False
volatility_breakout_crypto/backtest_breakout: rc=0  0.1 0.05 False
